"Codigo Articulo","Descripción","Des.Marca","Familia","Sub-Familia","Unidad de stock"
"046307","BOLSA DE REGALO DISNEY P.SMALL DISBR11008","IASA","005","042","UNI"
"046308","BOLSA DE REGALO BARBIE STANDAR MEDIUM","IASA","005","042","UNI"
"046309","BOLSA DE REGALO DISNEY JUMBO DISBR11001B","IASA","005","042","UNI"
"046310","BOLSA DE REGALO BARBIE FAIRY SMALL","IASA","005","042","UNI"
"046311","BOLSA DE REGALO DISNEY JUMBO DISBR11001A","IASA","005","042","UNI"
"046312","BOLSA DE REGALO HOT WHEELS LARGE","IASA","005","042","UNI"
"046313","BOLSA DE REGALO HOT WHEELS SMALL","IASA","005","042","UNI"
"046314","BOLSA DE REGALO BARBIE FAIRY JUMBO","IASA","005","042","UNI"
"046315","BOLSA DE REGALO BARBIE ROCK MEDIUM","IASA","005","042","UNI"
"046316","BOLSA DE REGALO BARBIE FAIRY LARGE","IASA","005","042","UNI"
"046317","BOLSA DE REGALO DISNEY LARGE DISBR11002 A","IASA","005","042","UNI"
"046318","BOLSA DE REGALO BARBIE STANDAR SMALL","IASA","005","042","UNI"
"046319","BOLSA DE REGALO BATTLE FORCE MEDIUM","IASA","005","042","UNI"
"046320","BOLSA DE REGALO BATTLE FORCE LARGE","IASA","005","042","UNI"
"046321","BOLSA DE REGALO BARBIE FAIRY LARGE","IASA","005","042","UNI"
"046322","BOLSA DE REGALO DISNEY MEDIUM DISBR11003","IASA","005","042","UNI"
"046323","BOLSA DE REGALO HOT WHEELS JUMBO","IASA","005","042","UNI"
"046324","BOLSA DE REGALO BARBIE STANDAR MEDIUM","IASA","005","042","UNI"
"046325","BOLSA DE REGALO BARBIE FAIRY MEDIUM","IASA","005","042","UNI"
"046326","BOLSA DE REGALO DISNEY SMALL DISBR11004","IASA","005","042","UNI"
"046327","BOLSA DE REGALO DISNEY LARGE DISBR11002B","IASA","005","042","UNI"
"046328","BOLSA DE REGALO BARBIE FAIRY SMALL","IASA","005","042","UNI"
"046329","BOLSA DE REGALO BARBIE STANDAR LARGE","IASA","005","042","UNI"
"046330","BOLSA DE REGALO BARBIE PURPLE JUMBO","IASA","005","042","UNI"
"046331","BOLSA DE REGALO BATTLE FORCE SMALL","IASA","005","042","UNI"
"046332","BOLSA DE REGALO BARBIE STANDAR LARGE","IASA","005","042","UNI"
"046333","BOLSA DE REGALO DISNEY P.JUMBO DISBR11005","IASA","005","042","UNI"
"046334","BOLSA DE REGALO BARBIE ROCK SMALL","IASA","005","042","UNI"
"046335","BOLSA DE REGALO DISNEY P.LARGE DISBR11006","IASA","005","042","UNI"
"046336","BOLSA DE REGALO BARBIE STANDAR JUMBO","IASA","005","042","UNI"
"046337","BOLSA DE REGALO DISNEY P.MEDIUM DISBR11007","IASA","005","042","UNI"
"046338","BOLSA DE REGALO BARBIE ROCK JUMBO","IASA","005","042","UNI"
"046339","BOLSA DE REGALO BARBIE STANDAR JUMBO","IASA","005","042","UNI"
"046340","BOLSA DE REGALO BARBIE FASHION JUMBO","IASA","005","042","UNI"
"046341","BOLSA DE REGALO BARBIE ROCK LARGE","IASA","005","042","UNI"
"046342","BOLSA DE REGALO BATTLE FORCE JUMBO","IASA","005","042","UNI"
"046343","BOLSA DE REGALO BARBIE FAIRY MEDIUM","IASA","005","042","UNI"
"046344","BOLSA DE REGALO DISNEY B.MEDIUM DISBR11010","IASA","005","042","UNI"
"046345","BOLSA DE REGALO HOT WHEELS MEDIUM","IASA","005","042","UNI"
"046346","LAPICERO TINKERBELL DD0007.12","IASA","001","018","UNI"
"046347","CAJA CARTON PLANNER X 12","S/M","008","009","UNI"
"046348","CINTA .3/4 P/MAQ. ROTULADORA PROF. BLANCA","DYMO","001","033","UNI"
"046349","BOLSA DE REGALO NAV. POOH S DISBREG10069","IASA","005","042","UNI"
"046350","BOLSA DE NAV. PRINCESAS M DISBREG10063","IASA","005","042","UNI"
"046351","BOLSA DE  NAV. PRINCESAS S DISBREG10064","IASA","005","042","UNI"
"046352","BOLSA DE REGALO NAV. POOH J DISBREG10066","IASA","005","042","UNI"
"046353","BOLSA DE REGALO NAV. POOH L DISBREG10067","IASA","005","042","UNI"
"046354","BOLSA DE REGALO M Y M J DISBREG10056","IASA","005","042","UNI"
"046355","BOLSA DE REGALO M Y M  S.  DISBREG10010","IASA","005","042","UNI"
"046356","BOLSA DE REGALO M Y M  XS.  DISBREG10011","IASA","005","042","UNI"
"046357","BOLSA DE REGALO WINNIE J DISBREG10036","IASA","005","042","UNI"
"046358","BOLSA DE REGALO WINNIE J DISBREG10012","IASA","005","042","UNI"
"046359","BOLSA DE REGALO WINNIE M DISBREG10038","IASA","005","042","UNI"
"046360","BOLSA DE REGALO WINNIE S DISBREG10039","IASA","005","042","UNI"
"046361","BOLSA DE REGALO WINNIE XS DISBREG10040","IASA","005","042","UNI"
"046362","BOLSA DE REGALO WINNIE POOH L DISBREG10013","IASA","005","042","UNI"
"046363","BOLSA DE REGALO WINNIE POOH M DISBREG10014","IASA","005","042","UNI"
"046364","BOLSA DE REGALO TINKERBELL J DISBREG10041","IASA","005","042","UNI"
"046365","BOLSA DE REGALO WINNIE POOH S DISBREG10015","IASA","005","042","UNI"
"046366","BOLSA DE REGALO M Y M  L.  DISBREG10008","IASA","005","042","UNI"
"046367","BOLSA DE REGALO M Y M  M.  DISBREG10009","IASA","005","042","UNI"
